TEAM,GAMES,POINTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FTP,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,PLUS_MINUS,YEAR
WKK Wrocław,34.0,77.7,20.7,39.6,52.4,8.0,27.5,29.1,28.7,67.0,42.9,12.2,17.6,69.3,11.38,28.53,39.91,18.3,23.26,18.5,14.4,8.5,2.56,2.0,88.9,-5.2,2022/2023
WKS Śląsk II Wrocław,34.0,73.7,18.9,38.7,48.9,7.2,22.9,31.2,26.0,61.6,42.3,14.5,21.6,67.2,10.76,26.12,36.88,16.6,20.5,20.44,14.4,8.0,3.12,3.21,81.4,2.2,2022/2023
 AZS UMCS Start II Lublin,32.0,82.7,19.9,38.4,51.8,10.3,30.5,33.7,30.2,68.9,43.8,12.1,17.7,68.2,12.91,28.97,41.88,20.0,20.88,18.97,13.8,6.91,2.53,2.09,95.8,13.3,2021/2022
AZS AGH Kraków,36.0,79.9,21.4,39.1,54.6,6.8,19.8,34.1,28.1,58.9,47.7,16.9,25.2,67.2,9.42,30.11,39.53,18.3,20.78,24.0,17.9,7.31,2.42,1.47,90.4,2.4,2021/2022
Decka Pelplin,32.0,77.5,19.0,36.5,52.1,8.7,26.3,33.1,27.8,62.8,44.2,13.3,20.9,63.8,10.59,25.97,36.56,17.5,17.34,21.06,12.7,9.5,2.22,2.97,87.9,25.5,2021/2022
Dziki Warszawa,37.0,70.7,16.6,34.4,48.3,7.9,25.2,31.4,24.5,59.5,41.2,13.7,20.3,67.6,10.27,28.54,38.81,16.5,18.43,20.35,15.9,7.59,2.81,2.32,78.7,-14.6,2021/2022
GKS Tychy,37.0,81.4,19.3,35.1,55.1,8.6,25.8,33.5,27.9,60.8,45.9,16.9,23.7,71.4,9.54,27.41,36.95,18.8,21.46,23.43,15.5,6.78,2.57,1.32,91.3,-9.3,2021/2022
Górnik Trans.eu Wałbrzych,45.0,78.7,19.2,38.6,49.7,8.5,29.4,28.8,27.7,68.0,40.7,14.9,22.1,67.2,11.84,29.18,41.02,17.8,21.38,21.04,14.7,6.82,2.2,3.11,84.2,-25.0,2021/2022
KS Księżak Łowicz,32.0,89.4,23.3,42.1,55.5,9.3,27.0,34.6,32.7,69.1,47.3,14.7,20.9,70.0,12.03,26.53,38.56,18.8,21.94,20.5,12.9,8.06,1.97,1.19,101.2,33.3,2021/2022
Miasto Szkła Krosno,32.0,78.9,19.2,38.6,49.7,8.2,24.8,33.0,27.3,63.3,43.1,16.1,22.6,71.3,11.28,25.69,36.97,15.3,20.5,21.47,14.6,7.78,2.25,3.06,84.1,1.1,2021/2022
MKKS Żak Koszalin,32.0,78.3,18.3,35.5,51.6,9.1,27.9,32.7,27.4,63.4,43.3,14.3,19.3,74.5,9.75,26.13,35.88,17.5,19.53,18.75,14.1,7.41,1.88,2.91,86.0,12.3,2021/2022
PGE Turów Zgorzelec,32.0,89.4,23.5,42.7,55.1,9.7,28.9,33.5,33.2,71.6,46.4,13.3,18.5,72.0,13.28,29.25,42.53,21.7,21.75,18.44,13.6,9.06,2.66,1.34,108.2,68.6,2021/2022
Rawlplug Sokół Łańcut,44.0,78.7,20.3,41.3,49.0,8.5,25.2,33.7,28.7,66.5,43.2,12.8,18.5,69.1,11.25,25.77,37.02,16.6,20.16,18.77,14.4,7.39,1.61,3.27,83.5,-35.9,2021/2022
Sensation Kotwica Kołobrzeg,44.0,74.1,17.1,37.4,45.6,8.5,26.7,31.8,25.6,64.1,39.9,14.5,21.7,66.8,10.3,29.02,39.32,15.9,18.34,20.34,13.9,6.0,2.27,2.59,78.0,-43.5,2021/2022
SKS Starogard Gdański,32.0,80.0,20.6,42.6,48.5,8.5,25.3,33.5,29.1,67.8,42.9,13.4,19.0,70.4,11.84,28.97,40.81,16.4,21.13,18.34,14.9,9.5,2.75,3.94,90.3,0.6,2021/2022
TBS Śląsk II Wrocław,32.0,81.8,20.3,41.5,48.8,8.2,26.1,31.3,28.4,67.6,42.0,16.8,24.2,69.6,12.25,29.56,41.81,17.5,21.0,21.75,14.8,7.31,2.56,2.22,89.5,-10.8,2021/2022
Weegree AZS Politechnika Opolska,42.0,76.8,19.3,38.7,49.8,8.6,25.9,33.0,27.8,64.7,43.0,12.6,17.8,70.8,10.6,27.9,38.5,17.0,23.14,19.24,13.8,6.98,2.62,2.24,85.9,-17.9,2021/2022
WKK Wrocław,37.0,79.8,19.5,38.5,50.6,9.4,28.2,33.4,28.9,66.7,43.3,12.6,18.2,69.2,10.97,28.68,39.65,18.7,21.08,18.65,13.8,7.41,2.86,2.43,91.2,3.9,2021/2022
Znicz Basket Pruszków,32.0,83.3,20.3,37.0,55.0,9.6,27.3,35.1,29.9,64.2,46.6,14.0,20.1,69.5,10.19,29.88,40.06,19.4,21.91,19.84,14.4,7.53,2.53,1.69,98.1,44.4,2021/2022
Decka Pelplin,30.0,86.9,24.1,43.6,55.3,8.2,25.3,32.5,32.3,68.9,46.9,14.0,19.7,71.2,12.6,27.17,39.77,19.2,20.97,19.3,14.2,8.93,2.6,2.87,100.9,20.8,2020/2021
Dziki Warszawa,30.0,80.6,20.6,41.0,50.2,7.5,23.1,32.4,28.1,64.1,43.8,16.9,22.7,74.3,11.77,27.83,39.6,19.9,20.73,21.63,15.7,7.07,1.87,2.97,91.4,4.8,2020/2021
Elektrobud-Investment ZB Pruszków,33.0,74.2,19.7,39.7,49.6,6.5,19.9,32.5,26.1,59.5,43.9,15.5,21.6,71.6,10.27,27.0,37.27,16.2,19.52,20.55,16.4,8.27,2.76,1.88,82.8,6.4,2020/2021
Energa Kotwica Kołobrzeg,30.0,80.5,20.5,38.8,52.7,8.6,28.2,30.4,29.0,67.0,43.4,13.9,20.7,67.0,12.0,28.97,40.97,17.6,20.17,21.2,14.3,7.23,2.33,2.5,89.6,9.4,2020/2021
GKS Tychy,34.0,85.6,21.0,38.4,54.6,9.4,26.6,35.2,30.3,65.0,46.7,15.6,20.8,75.0,10.35,24.59,34.94,19.6,19.68,21.09,14.0,8.91,2.85,2.91,98.1,15.2,2020/2021
Górnik Trans.eu Wałbrzych,44.0,75.8,18.3,39.4,46.3,7.6,24.0,31.8,25.9,63.4,40.8,16.4,23.7,69.1,11.43,27.8,39.23,17.1,22.39,22.09,15.2,6.11,3.05,2.89,81.3,-35.0,2020/2021
Grupa Sierleccy-Czarni Słupsk,42.0,71.1,17.3,37.4,46.3,7.9,24.0,32.8,25.2,61.3,41.0,13.0,19.1,67.7,9.74,24.6,34.33,14.8,18.93,19.71,14.6,5.9,2.26,2.57,71.6,-70.3,2020/2021
KS Księżak Łowicz,30.0,86.2,21.0,38.7,54.2,9.9,27.7,35.6,30.9,66.5,46.4,14.6,19.6,74.5,10.23,26.47,36.7,19.1,21.87,20.07,15.1,7.57,2.8,1.83,96.7,5.7,2020/2021
Miasto Szkła Krosno,33.0,81.3,18.6,35.2,52.7,9.3,25.0,37.1,27.8,60.2,46.2,16.4,22.9,71.7,8.91,25.7,34.61,17.8,20.39,22.64,15.9,7.58,1.82,2.03,88.3,4.1,2020/2021
Pogoń Prudnik,30.0,85.9,22.8,40.1,56.9,8.4,25.2,33.3,31.2,65.3,47.8,15.1,20.3,74.1,11.17,25.4,36.57,20.9,20.3,19.77,12.3,7.83,2.7,1.67,102.1,31.7,2020/2021
Rawlplug Sokół Łańcut,40.0,81.3,22.1,41.3,53.4,8.0,22.6,35.5,30.1,63.8,47.1,13.2,17.6,74.8,10.45,23.95,34.4,16.7,21.85,18.85,15.5,7.75,1.93,2.6,88.3,-41.5,2020/2021
TBS Śląsk II Wrocław,30.0,81.7,20.7,40.0,51.8,8.2,24.5,33.4,28.9,64.5,44.8,15.7,22.0,71.5,11.87,27.1,38.97,18.0,20.67,21.27,15.9,7.57,2.73,2.77,91.1,-2.5,2020/2021
TS Wisła Chemart Kraków,30.0,85.2,22.6,40.6,55.7,8.7,25.2,34.4,31.3,65.8,47.5,14.0,19.2,72.7,10.77,28.17,38.93,19.1,19.83,19.73,13.3,8.57,2.93,2.4,101.7,45.3,2020/2021
Weegree AZS Politechnika Opolska,34.0,85.2,21.2,37.9,56.0,8.5,26.4,32.3,29.7,64.3,46.2,17.2,23.4,73.7,10.65,26.79,37.44,18.8,22.94,21.82,16.0,8.0,2.47,3.68,95.2,8.8,2020/2021
WKK Wrocław,40.0,79.8,20.5,42.9,47.8,8.1,25.0,32.3,28.6,67.9,42.1,14.5,20.1,72.2,11.33,27.2,38.53,18.4,22.28,19.5,14.3,7.38,2.88,3.65,87.8,-33.0,2020/2021
Zetkama Doral Nysa Kłodzko,30.0,93.4,25.0,43.2,57.8,9.4,23.2,40.3,34.3,66.4,51.7,15.4,21.7,70.9,11.67,28.5,40.17,19.7,21.0,19.93,14.5,8.73,3.0,1.13,112.0,95.5,2020/2021
Biofarm Basket Poznań,23.0,80.5,19.1,39.5,48.3,8.6,25.1,34.3,27.7,64.6,42.9,16.5,22.4,73.6,12.65,27.65,40.3,16.9,22.65,21.65,14.6,7.39,1.74,2.78,89.4,7.4,2019/2020
Elektrobud-Investment ZB Pruszków,24.0,81.0,21.0,39.3,53.4,7.3,20.9,34.9,28.3,60.2,47.0,17.2,23.8,72.0,10.42,28.96,39.38,17.6,20.79,21.5,16.0,8.0,2.08,2.13,93.5,17.3,2019/2020
Energa Kotwica Kołobrzeg,23.0,86.0,22.3,39.6,56.4,9.3,26.3,35.2,31.6,65.9,47.9,13.6,19.3,70.3,10.3,25.87,36.17,18.7,19.52,19.0,12.8,7.48,3.13,1.74,98.6,23.0,2019/2020
GKS Tychy,24.0,83.4,19.3,35.5,54.2,9.3,26.3,35.1,28.5,61.8,46.1,17.2,23.0,74.5,10.17,24.71,34.88,18.0,20.67,23.33,13.5,7.71,2.79,2.08,94.1,4.0,2019/2020
Górnik Trans.eu Wałbrzych,23.0,76.2,18.3,38.4,47.5,7.3,24.2,30.2,25.6,62.6,40.8,17.7,25.4,69.7,12.65,27.57,40.22,16.1,21.83,23.65,15.7,7.57,1.87,3.3,81.5,-29.1,2019/2020
KS Księżak Łowicz,23.0,89.4,24.7,42.2,58.6,8.4,25.4,32.9,33.1,67.6,48.9,14.8,20.6,71.9,11.43,25.78,37.22,17.8,23.13,20.91,14.0,7.61,1.91,1.57,99.6,0.4,2019/2020
Miasto Szkła Krosno,23.0,77.3,17.6,35.9,49.0,8.6,26.5,32.5,26.2,62.4,42.0,16.3,22.4,72.7,10.48,23.87,34.35,15.7,20.09,21.78,12.0,8.65,1.7,2.35,83.4,-14.4,2019/2020
Pogoń Prudnik,24.0,84.1,22.0,40.2,54.6,7.6,24.2,31.6,29.6,64.4,46.0,17.3,22.6,76.6,10.17,25.17,35.33,17.9,21.96,21.38,11.2,6.83,2.25,1.54,95.1,3.1,2019/2020
Rawlplug Sokół Łańcut,24.0,81.8,20.3,38.0,53.5,8.8,23.8,36.8,29.1,61.8,47.1,14.8,20.1,73.9,9.75,25.33,35.08,18.2,21.33,21.04,15.7,6.25,2.33,1.83,90.0,-23.5,2019/2020
STK Czarni Słupsk,24.0,78.4,19.8,37.7,52.6,7.5,24.5,30.5,27.3,62.2,43.9,16.4,21.9,74.9,9.29,25.71,35.0,17.2,18.96,20.63,12.0,5.54,1.79,2.33,85.5,-27.1,2019/2020
Timeout Polonia 1912 Leszno,24.0,84.0,21.0,42.6,49.4,9.0,24.7,36.5,30.0,67.3,44.7,14.9,21.0,70.7,10.75,29.04,39.79,15.5,22.54,19.75,11.1,6.92,2.0,1.63,93.7,8.1,2019/2020
Weegree AZS Politechnika Opolska,23.0,89.8,22.8,40.7,56.0,9.2,25.9,35.5,32.0,66.6,48.0,16.7,22.0,76.1,11.04,26.43,37.48,19.5,23.13,20.65,12.3,7.74,2.7,1.91,105.1,23.6,2019/2020
WKK Wrocław,23.0,81.5,20.4,42.6,47.9,9.2,25.8,35.6,29.6,68.4,43.2,13.2,18.2,72.6,12.65,26.26,38.91,19.7,21.52,18.39,13.2,6.39,2.09,4.17,91.6,-22.9,2019/2020
Zetkama Doral Nysa Kłodzko,23.0,84.0,18.8,36.9,51.0,9.3,25.8,35.9,28.1,62.7,44.8,18.5,25.9,71.5,11.04,27.26,38.3,17.3,22.26,21.13,12.9,7.0,2.87,1.96,94.6,31.1,2019/2020
AZS AGH Kraków,34.0,82.3,23.7,44.6,53.1,5.9,18.2,32.7,29.6,62.8,47.2,17.2,25.9,66.2,11.68,28.71,40.38,18.2,22.56,23.18,15.6,8.59,3.29,2.24,95.3,30.9,2018/2019
Biofarm Basket Poznań,33.0,78.6,18.8,39.3,47.8,8.8,26.1,33.7,27.6,65.4,42.2,14.7,20.6,71.5,11.76,28.36,40.12,16.5,20.64,19.52,12.7,7.3,2.06,3.55,88.3,5.9,2018/2019
Elektrobud-Investment ZB Pruszków,34.0,73.2,18.5,36.6,50.5,7.4,22.2,33.3,25.9,58.7,44.0,14.1,19.4,72.8,9.74,27.79,37.53,16.7,18.32,19.91,15.6,7.68,2.0,2.06,83.4,8.1,2018/2019
Enea Astoria Bydgoszcz,41.0,78.5,18.3,36.8,49.8,9.2,27.4,33.7,27.5,64.2,42.9,14.2,20.8,68.4,9.85,25.34,35.2,19.0,21.49,19.9,13.3,6.46,2.02,2.46,84.6,-37.3,2018/2019
Energa Kotwica Kołobrzeg,34.0,81.5,16.8,34.1,49.4,10.6,28.4,37.3,27.4,62.5,43.9,16.1,23.1,69.8,10.94,26.59,37.53,16.8,20.59,21.85,14.1,7.15,2.44,1.82,89.3,3.1,2018/2019
FutureNet Śląsk Wrocław,42.0,80.3,20.4,43.3,47.1,8.2,24.5,33.6,28.6,67.8,42.2,14.8,21.9,67.9,12.24,26.81,39.05,15.4,22.17,21.4,12.3,5.52,2.71,2.9,84.5,-46.4,2018/2019
GKS Tychy,34.0,83.4,19.2,34.3,55.9,9.3,26.4,35.3,28.5,60.7,46.9,17.1,23.5,72.8,9.88,25.35,35.24,18.3,20.94,22.97,12.9,6.0,2.35,1.15,93.7,-10.4,2018/2019
Górnik Trans.eu Wałbrzych,34.0,76.4,15.4,34.4,44.8,9.7,29.1,33.5,25.1,63.4,39.6,16.4,22.9,71.7,11.32,24.47,35.79,16.2,22.0,21.85,11.6,7.15,1.88,3.35,81.1,3.2,2018/2019
Jamalex Polonia 1912 Leszno,30.0,78.5,21.1,39.2,53.7,7.1,22.3,31.7,28.1,61.5,45.7,15.1,20.5,73.7,10.53,26.5,37.03,15.3,21.8,21.23,14.7,5.87,2.87,1.13,86.1,-8.6,2018/2019
KS Księżak Syntex Łowicz,34.0,86.0,22.0,39.8,55.3,9.1,23.6,38.4,31.1,63.4,49.0,14.9,19.6,75.7,11.32,25.85,37.18,18.9,20.44,20.5,12.9,7.94,2.38,1.56,102.3,38.7,2018/2019
Pogoń Prudnik,30.0,83.6,21.5,38.6,55.6,8.5,26.6,31.9,29.9,65.2,45.9,15.3,21.5,71.1,10.47,26.53,37.0,17.6,22.27,21.33,13.0,7.37,1.83,1.7,93.0,-0.5,2018/2019
Polfarmex Kutno,34.0,80.2,21.1,41.1,51.3,7.4,21.5,34.6,28.5,62.6,45.6,15.7,23.1,68.0,11.47,28.12,39.59,17.6,19.97,21.09,15.1,7.18,2.88,3.06,90.9,9.7,2018/2019
Rawlplug Sokół Łańcut,41.0,81.7,20.6,38.8,53.1,9.7,26.5,36.5,30.2,65.2,46.4,11.6,16.1,71.7,10.15,26.54,36.68,19.0,23.9,17.27,13.1,6.39,2.0,2.27,93.2,-14.5,2018/2019
SKK Siedlce,34.0,89.4,20.9,39.8,52.4,10.3,29.9,34.5,31.2,69.7,44.8,16.7,21.7,76.7,13.0,28.85,41.85,21.6,19.18,20.94,12.0,8.91,2.44,2.24,108.6,45.6,2018/2019
STK Czarni Słupsk,41.0,78.8,18.8,37.4,50.2,8.9,25.7,34.5,27.7,63.1,43.8,14.6,21.7,67.1,9.88,25.37,35.24,16.6,18.73,21.2,12.2,7.32,2.17,2.66,85.3,-18.2,2018/2019
WKK Wrocław,34.0,80.8,20.0,39.3,51.0,9.9,28.0,35.5,30.0,67.3,44.6,10.9,15.2,71.4,11.79,29.15,40.94,19.4,19.41,16.53,13.7,6.56,2.03,2.76,94.4,15.6,2018/2019
Biofarm Basket Poznań,36.0,77.5,19.2,38.2,50.2,8.2,23.7,34.5,27.4,61.9,44.2,14.5,20.4,71.4,10.53,25.44,35.97,16.3,20.33,20.06,13.4,7.81,2.0,3.03,85.8,-6.6,2017/2018
Elektrobud-Investment ZB Pruszków,36.0,75.6,19.5,39.7,49.1,7.9,25.3,31.4,27.4,64.9,42.2,12.9,18.8,68.5,11.67,23.53,35.19,17.3,20.31,19.22,13.4,9.89,2.17,3.06,83.2,-7.8,2017/2018
Enea Astoria Bydgoszcz,32.0,78.0,18.9,37.1,50.8,9.1,26.8,33.9,28.0,63.9,43.7,13.0,18.8,69.1,10.56,24.97,35.53,17.6,22.0,20.0,15.8,8.31,3.25,2.09,85.1,-18.7,2017/2018
Energa Kotwica Kołobrzeg,36.0,79.1,20.7,39.0,53.1,8.5,26.4,32.2,29.2,65.4,44.7,12.1,18.1,67.1,11.64,27.5,39.14,15.9,18.75,18.97,14.4,8.08,2.42,1.36,88.1,19.7,2017/2018
GKS Tychy,41.0,86.6,21.3,36.9,57.9,9.7,26.6,36.4,31.0,63.4,48.9,14.9,20.7,72.0,10.76,23.51,34.27,17.7,21.88,21.17,14.5,7.29,2.32,1.56,95.5,-14.0,2017/2018
Jamalex Polonia 1912 Leszno,42.0,72.5,18.3,35.7,51.2,7.0,22.0,31.7,25.3,57.7,43.8,15.0,21.4,70.1,9.45,26.57,36.02,14.8,21.45,21.62,16.3,5.86,2.64,1.67,76.6,-45.7,2017/2018
KK Warszawa,36.0,80.9,20.4,37.5,54.5,7.8,23.7,32.7,28.2,61.2,46.1,16.7,23.3,71.8,11.39,28.86,40.25,17.9,20.06,21.42,15.8,9.28,2.5,1.97,95.4,54.8,2017/2018
KSK Noteć Inowrocław,32.0,83.9,23.6,41.5,56.9,7.6,22.5,33.9,31.3,64.0,48.8,13.8,19.0,72.7,11.75,28.47,40.22,18.1,20.13,20.19,14.1,9.03,2.56,1.78,101.8,77.8,2017/2018
Pogoń Prudnik,36.0,79.6,19.7,38.0,51.9,8.5,25.6,33.3,28.3,63.6,44.4,14.6,19.6,74.7,10.08,26.61,36.69,15.8,21.33,19.36,12.6,8.44,2.39,2.36,90.1,24.9,2017/2018
Polfarmex Kutno,36.0,68.5,17.3,35.4,48.7,6.8,22.1,30.9,24.1,57.5,41.9,13.5,19.6,68.9,9.97,26.83,36.81,14.0,18.56,20.44,17.1,7.36,2.61,2.25,72.8,-26.0,2017/2018
R8 Basket AZS Politechnika Kraków,36.0,77.6,20.7,39.5,52.4,8.1,24.2,33.6,28.8,63.7,45.3,11.8,17.9,65.8,11.08,25.31,36.39,17.1,19.67,19.72,13.9,6.31,1.86,1.86,84.3,-31.0,2017/2018
Siarka Tarnobrzeg,36.0,80.8,21.7,39.1,55.4,7.6,24.4,31.1,29.3,63.5,46.1,14.7,21.2,69.3,11.61,27.53,39.14,16.6,20.72,20.56,16.0,9.44,2.44,2.86,91.6,25.9,2017/2018
SKK Siedlce,36.0,79.2,18.8,38.3,49.1,8.8,26.3,33.4,27.6,64.7,42.7,15.2,21.4,70.9,12.17,26.08,38.25,18.2,18.94,21.19,14.5,9.33,2.36,2.53,89.6,15.6,2017/2018
Sokół Łańcut,43.0,75.7,20.4,40.6,50.4,8.1,23.3,34.9,28.6,63.9,44.7,10.4,14.7,70.5,12.3,27.26,39.56,17.0,21.58,16.58,16.1,6.16,1.53,3.07,84.2,-20.2,2017/2018
Spójnia Stargard,42.0,77.1,20.6,40.5,50.9,7.5,24.7,30.3,28.1,65.2,43.1,13.4,19.9,67.5,11.45,23.12,34.57,15.7,19.9,19.26,14.0,8.0,1.95,2.36,79.9,-56.0,2017/2018
WKS Śląsk Wrocław,32.0,78.8,20.5,43.7,47.0,7.2,20.8,34.5,27.7,64.5,43.0,16.2,23.0,70.3,10.63,27.56,38.19,14.7,19.72,21.84,12.2,7.47,2.19,3.09,85.6,1.6,2017/2018
Zetkama Doral Nysa Kłodzko,36.0,76.9,18.6,36.4,51.1,8.2,23.1,35.5,26.8,59.5,45.0,15.2,21.7,69.9,9.83,27.53,37.36,16.4,21.11,21.36,12.9,6.36,2.03,2.08,86.9,34.5,2017/2018
ACK UTH Rosa Radom,33.0,75.3,20.7,39.6,52.4,7.2,22.0,32.6,27.9,61.6,45.3,12.4,17.5,70.9,11.06,26.64,37.7,17.6,20.09,19.45,16.4,9.3,1.88,1.94,86.6,21.3,2016/2017
AZS AGH Kraków,34.0,76.5,21.4,41.0,52.1,6.4,18.4,34.9,27.8,59.4,46.8,14.6,21.3,68.4,10.68,26.32,37.0,17.8,21.12,21.09,16.3,8.18,2.76,2.38,87.6,21.9,2016/2017
Biofarm Basket Poznań,34.0,68.7,18.3,38.6,47.4,7.0,23.2,30.3,25.3,61.8,41.0,11.0,16.1,68.6,11.79,24.26,36.06,15.5,19.24,19.24,15.3,8.26,2.85,3.03,74.6,2.5,2016/2017
Enea Astoria Bydgoszcz,33.0,82.9,19.6,38.0,51.6,9.2,25.9,35.3,28.8,63.9,45.0,16.2,23.7,68.4,11.76,25.27,37.03,19.8,21.82,21.97,14.4,8.27,3.21,1.64,94.1,35.2,2016/2017
GKS Tychy,34.0,73.6,20.2,39.2,51.6,6.3,23.5,26.9,26.5,62.7,42.3,14.2,19.3,73.7,10.15,24.62,34.76,15.4,18.97,20.15,14.6,7.12,2.18,2.29,77.3,-24.9,2016/2017
GTK Gliwice,39.0,70.6,18.4,36.3,50.7,6.2,19.6,31.8,24.6,55.9,44.0,15.1,21.4,70.5,8.77,25.18,33.95,13.0,18.64,22.26,17.5,6.44,1.82,1.18,70.7,-25.3,2016/2017
Jamalex Polonia 1912 Leszno,33.0,72.2,18.5,35.1,52.5,7.1,23.5,30.1,25.5,58.6,43.5,14.2,20.7,68.4,8.97,26.48,35.45,15.4,22.85,22.27,17.5,7.58,2.97,1.85,76.5,-3.3,2016/2017
Kotwica Kołobrzeg,30.0,73.0,20.1,40.1,50.1,7.2,24.8,29.2,27.3,64.9,42.1,11.1,16.0,69.7,12.1,28.7,40.8,16.5,20.0,17.17,14.3,8.07,1.9,2.07,83.6,20.3,2016/2017
KSK Noteć Inowrocław,34.0,78.0,19.9,38.8,51.2,8.9,25.2,35.1,28.7,64.0,44.8,11.8,15.9,73.8,10.74,27.21,37.94,16.6,20.38,19.35,15.2,8.32,2.15,2.18,88.3,22.9,2016/2017
Legia Warszawa,40.0,69.6,20.1,40.5,49.6,6.0,20.3,29.3,26.0,60.8,42.8,11.6,16.5,70.0,10.3,23.43,33.73,14.5,21.33,17.73,16.7,7.5,2.43,2.45,71.3,-59.4,2016/2017
Max Elektro Sokół Łańcut,38.0,72.8,20.0,39.6,50.5,7.1,23.6,30.1,27.1,63.2,42.9,11.5,17.1,67.1,10.53,25.39,35.92,15.8,21.55,18.76,15.3,7.24,1.89,2.16,76.6,-32.0,2016/2017
meritumkredyt Pogoń Prudnik,33.0,76.7,20.3,39.0,52.0,8.1,24.2,33.5,28.4,63.2,44.9,11.8,16.3,72.1,10.7,25.67,36.36,16.1,19.42,18.33,15.1,7.7,1.64,2.58,84.0,2.1,2016/2017
